,hq_id,inv_id,inv_name
1002,420258,21632,supplier3
1003,420258,1868518,supplier4
1004,420258,71153,supplier2
1005,420258,32302,supplier3
1006,420258,482485,supplier4
1007,420258,39717,supplier3
1008,420258,69882,supplier2
1009,420258,568435,supplier4
1010,420258,69883,supplier2
1011,420258,231306,supplier4
1012,115352,115352,supplier1
1013,115352,40911,supplier3
1014,115352,650565,supplier4
1015,115352,69885,supplier2
1016,214251,214251,supplier1
1017,214251,38360,supplier3
1018,551027,551027,supplier1
1019,551027,421078,supplier2
1020,495329,495329,supplier1
1021,495329,164366,supplier2
1022,548190,548190,supplier1
1023,548190,419859,supplier2
1024,495318,495318,supplier1
1025,495318,147532,supplier2
1026,495308,495308,supplier1
1027,495308,164364,supplier2
1028,495319,495319,supplier1
1029,495319,164363,supplier2
1030,495317,495317,supplier1
1031,495317,147530,supplier2
1032,495309,495309,supplier1
1033,495309,147528,supplier2
1034,495305,495305,supplier1
1035,495305,147529,supplier2
1036,246253,246253,supplier1
1037,246253,36567,supplier3
1038,495326,495326,supplier1
1039,495326,164365,supplier2
1040,550639,550639,supplier1
1041,550639,444162,supplier2
1042,550639,46240,supplier3
1043,550639,231316,supplier4
1044,310612,310612,supplier1
1045,310612,139125,supplier2
1046,481555,481555,supplier1
1047,481555,208520,supplier2
1048,145230,145230,supplier1
1049,145230,50396,supplier3
1050,569431,569431,supplier1
1051,569431,188330,supplier2
1052,568066,568066,supplier1
1053,568066,229681,supplier3
1054,568066,52675,supplier3
1055,435187,435187,supplier1
1056,435187,39273,supplier3
1057,435187,1063318,supplier4
1058,435187,192403,supplier2
1059,220408,220408,supplier1
1060,220408,22438,supplier2
1061,575612,575612,supplier1
